2022-07-23 05:17:34,680 DEBUG   MainThread:20388 [config_util.py:dict_from_config_file():102] no default config file found in config-defaults.yaml
2022-07-23 05:17:35,085 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: check_version
2022-07-23 05:17:35,088 INFO    SenderThread:20388 [dir_watcher.py:__init__():169] watching files in: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files
2022-07-23 05:17:35,088 INFO    SenderThread:20388 [sender.py:_start_run_threads():812] run started: bjvg6h7j with start time 1658549877
2022-07-23 05:17:35,088 DEBUG   SenderThread:20388 [sender.py:send():235] send: summary
2022-07-23 05:17:35,089 INFO    SenderThread:20388 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-07-23 05:17:35,089 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: check_version
2022-07-23 05:17:35,115 INFO    MainThread:20388 [wandb_run.py:_on_init():1926] got version response upgrade_message: "wandb version 0.12.21 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-23 05:17:35,115 INFO    MainThread:20388 [wandb_init.py:init():660] starting run threads in backend
2022-07-23 05:17:35,116 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: run_start
2022-07-23 05:17:35,352 INFO    MainThread:20388 [wandb_run.py:_console_start():1896] atexit reg
2022-07-23 05:17:35,353 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:17:35,353 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:17:35,353 INFO    MainThread:20388 [wandb_run.py:_redirect():1769] redirect: SettingsConsole.WRAP
2022-07-23 05:17:35,356 INFO    MainThread:20388 [wandb_run.py:_redirect():1806] Wrapping output streams.
2022-07-23 05:17:35,357 INFO    MainThread:20388 [wandb_run.py:_redirect():1830] Redirects installed.
2022-07-23 05:17:35,357 INFO    MainThread:20388 [wandb_init.py:init():685] run started, returning control to user process
2022-07-23 05:17:35,485 DEBUG   SenderThread:20388 [sender.py:send():235] send: telemetry
2022-07-23 05:17:36,090 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/wandb-summary.json
2022-07-23 05:17:36,090 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:17:38,089 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:17:44,091 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:17:50,486 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:17:50,486 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:17:56,096 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:18:00,098 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:18:05,609 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:18:05,775 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:18:05,927 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:18:06,101 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/config.yaml
2022-07-23 05:18:06,101 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:18:20,929 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:18:20,929 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:18:36,055 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:18:36,055 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:18:36,110 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:18:37,739 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:18:50,115 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:18:51,187 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:18:51,187 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:19:04,120 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:19:06,337 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:19:06,337 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:19:09,268 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:19:16,131 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:19:18,132 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:19:21,461 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:19:21,462 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:19:30,136 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:19:36,582 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:19:36,582 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:19:40,837 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:19:44,141 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:19:51,701 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:19:51,702 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:19:58,146 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:20:06,822 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:20:06,822 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:20:12,150 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:20:12,321 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:20:21,944 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:20:21,944 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:20:26,154 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:20:37,073 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:20:37,073 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:20:40,159 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:20:43,782 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:20:52,193 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:20:52,193 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:20:54,163 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:08,168 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:12,193 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:21:12,194 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:21:15,322 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:21:22,173 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:27,314 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:21:27,314 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:21:34,177 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:36,178 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:42,459 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:21:42,459 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:21:46,869 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:21:48,182 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:21:57,585 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:21:57,586 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:22:02,187 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:22:12,710 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:22:12,710 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:22:16,191 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:22:18,494 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:22:27,837 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:22:27,837 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:22:30,196 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:22:42,971 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:22:42,971 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:22:44,201 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:22:50,096 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:22:58,093 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:22:58,093 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:22:58,208 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:12,212 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:13,214 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:23:13,214 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:23:21,719 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:23:26,217 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:28,334 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:23:28,334 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:23:38,221 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:40,222 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:43,461 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:23:43,461 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:23:52,226 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:23:53,422 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:23:58,582 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:23:58,582 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:24:06,230 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:24:13,701 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:24:13,701 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:24:20,234 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:24:24,963 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:24:28,832 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:24:28,832 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:24:34,238 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:24:43,955 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:24:43,956 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:24:48,243 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:24:56,433 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:24:59,077 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:24:59,077 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:25:02,247 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:14,199 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:25:14,200 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:25:16,251 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:27,874 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:25:29,323 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:25:29,324 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:25:30,255 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:42,258 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:44,258 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:44,460 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:25:44,461 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:25:56,271 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:25:59,503 DEBUG   SenderThread:20388 [sender.py:send():235] send: stats
2022-07-23 05:25:59,583 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: stop_status
2022-07-23 05:25:59,583 DEBUG   SenderThread:20388 [sender.py:send_request():249] send_request: stop_status
2022-07-23 05:26:02,272 INFO    Thread-10 :20388 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220723_051734-bjvg6h7j/files/output.log
2022-07-23 05:26:14,440 DEBUG   SenderThread:20388 [sender.py:send():235] send: files
2022-07-23 05:26:14,441 DEBUG   HandlerThread:20388 [handler.py:handle_request():141] handle_request: partial_history
2022-07-23 05:26:14,441 INFO    SenderThread:20388 [sender.py:_save_file():947] saving file media/images/viz_14_7b66badb858a669188bd.png with policy now
